order_id,date,region,rep,product_id,quantity,unit_price,discount,status
1068,2025-01-13,South,Chen,110,4,34.0,0.15,shipped
1069,2025-07-23,West,Bo,110,3,34.0,0,shipped
1070,2025-09-15,South,Chen,108,1,159.0,0,shipped
1071,2025-06-17,North,Amara,106,1,79.0,0.05,shipped
1072,2025-10-04,West,Chen,109,4,22.0,0,shipped
1073,2025-05-22,South,Eli,108,2,159.0,0,shipped
1074,2025-11-16,South,Amara,105,1,119.0,0.15,shipped
1075,2025-05-31,South,Amara,107,2,129.0,0,shipped
1076,2025-07-11,West,Bo,105,1,119.0,0,shipped
1077,2025-01-06,South,Dara,101,5,39.0,0.05,shipped
1078,2025-05-27,South,Dara,110,1,34.0,0.15,shipped
1079,2025-12-30,West,Farah,112,3,18.0,0.1,shipped
1080,2025-03-13,East,Dara,111,1,59.0,0,shipped
1081,2025-07-04,South,Chen,109,2,22.0,0,shipped
1082,2025-07-07,West,Farah,103,5,48.5,0.05,shipped
1083,2025-02-22,East,Eli,108,4,159.0,0,shipped
1084,2025-09-29,East,Farah,105,2,119.0,0.05,shipped
1085,2025-11-27,West,Eli,111,3,59.0,0.1,shipped
1086,2025-12-31,South,Dara,105,1,119.0,0,shipped
1087,2025-12-29,South,Amara,109,1,22.0,0.05,shipped
1088,2025-02-02,West,Farah,112,2,18.0,0.1,shipped
1089,2025-09-04,East,Dara,108,2,159.0,0,shipped
1090,2025-02-04,South,Farah,105,3,119.0,0,shipped
1091,2025-04-17,North,Eli,108,5,159.0,0,shipped
1092,2025-10-07,West,Amara,110,2,34.0,0.15,returned
1093,2025-10-25,East,Eli,111,1,59.0,0,shipped
1094,2025-03-07,South,Farah,110,2,34.0,0.1,shipped
1095,2025-03-17,West,Farah,105,5,119.0,0,shipped
1096,2025-01-21,West,Chen,105,2,119.0,0,shipped
1097,2025-04-03,West,Bo,107,1,129.0,0,shipped
1098,2025-07-19,West,Bo,109,1,22.0,0.1,shipped
1099,2025-01-11,West,Bo,109,2,22.0,0,shipped
1100,2025-07-12,East,Farah,111,5,59.0,0,shipped
1101,2025-08-13,West,Eli,108,1,159.0,0.05,shipped
1102,2025-09-22,North,Farah,112,1,18.0,0.15,shipped
1103,2025-10-16,North,Farah,108,2,159.0,0,shipped
1104,2025-09-25,East,Eli,111,1,59.0,0.1,shipped
1105,2025-08-18,South,Dara,110,3,34.0,0.1,shipped
1106,2025-02-20,North,Bo,102,5,64.0,0,shipped
1107,2025-11-03,West,Farah,102,2,64.0,0,shipped
1108,2025-03-11,East,Bo,112,4,18.0,0,shipped
1109,2025-08-20,West,Amara,106,1,79.0,0,shipped
1110,2025-08-23,North,Chen,106,1,79.0,0,shipped
1111,2025-12-26,North,Chen,111,1,59.0,0,cancelled
1112,2025-10-06,East,Amara,110,2,34.0,0.1,shipped
1113,2025-11-15,South,Chen,106,3,79.0,0.05,shipped
1114,2025-07-05,West,Dara,106,1,79.0,0,shipped
1115,2025-06-27,East,Eli,104,1,29.9,0,shipped
1116,2025-05-10,South,Eli,106,1,79.0,0,shipped
1117,2025-06-30,West,Amara,107,1,129.0,0.1,shipped
1118,2025-01-20,North,Bo,102,1,64.0,0,shipped
1119,2025-06-14,West,Amara,107,1,129.0,0.15,shipped
1120,2025-03-16,South,Bo,111,2,59.0,0,shipped
1121,2025-07-15,North,Dara,109,5,22.0,0,shipped
1122,2025-07-30,East,Dara,104,2,29.9,0,shipped
1123,2025-02-04,West,Chen,104,5,29.9,0.05,shipped
1124,2025-10-10,South,Chen,106,2,79.0,0.1,shipped
1125,2025-04-01,East,Amara,110,4,34.0,0,shipped
1126,2025-07-17,North,Dara,106,1,79.0,0,shipped
1127,2025-08-04,South,Farah,108,1,159.0,0.15,shipped
1128,2025-07-31,South,Amara,108,3,159.0,0.15,shipped
1129,2025-08-06,North,Bo,101,1,39.0,0,shipped
1130,2025-11-22,East,Farah,112,1,18.0,0,shipped
1131,2025-11-13,East,Farah,102,1,64.0,0,shipped
1132,2025-09-15,East,Dara,106,2,79.0,0,shipped
1133,2025-11-15,North,Bo,110,2,34.0,0.15,shipped
1134,2025-03-25,West,Farah,104,3,29.9,0.1,shipped
1135,2025-02-19,South,Dara,112,5,18.0,0,shipped
1136,2025-06-30,West,Dara,108,1,159.0,0,shipped
1137,2025-05-18,West,Dara,108,3,159.0,0,shipped
1138,2025-02-08,East,Bo,106,2,79.0,0,cancelled
1139,2025-06-27,North,Dara,108,1,159.0,0,shipped
1140,2025-02-21,North,Dara,102,2,64.0,0.15,shipped
1141,2025-08-17,East,Chen,112,1,18.0,0.15,shipped
1142,2025-03-19,North,Bo,106,2,79.0,0,shipped
1143,2025-05-21,North,Farah,111,2,59.0,0,shipped
1144,2025-11-22,West,Dara,110,5,34.0,0,shipped
1145,2025-03-22,North,Dara,112,2,18.0,0,shipped
1146,2025-02-23,East,Bo,101,4,39.0,0.15,shipped
1147,2025-07-14,West,Bo,103,2,48.5,0,shipped
1148,2025-04-07,North,Bo,111,2,59.0,0.15,shipped
1149,2025-06-19,North,Bo,112,1,18.0,0,shipped
1150,2025-12-03,North,Eli,106,1,79.0,0.05,shipped
1151,2025-03-11,North,Bo,107,2,129.0,0,shipped
1152,2025-02-08,South,Amara,101,3,39.0,0,shipped
1153,2025-04-25,North,Chen,101,1,39.0,0.05,shipped
1154,2025-05-05,East,Eli,110,4,34.0,0.05,shipped
1155,2025-04-28,North,Farah,103,1,48.5,0.15,shipped
1156,2025-03-11,East,Amara,106,1,79.0,0.05,shipped
1157,2025-01-31,North,Bo,108,1,159.0,0,shipped
1158,2025-05-17,West,Eli,111,1,59.0,0,shipped
1159,2025-04-22,East,Amara,109,1,22.0,0,shipped
1160,2025-10-13,South,Dara,110,1,34.0,0,shipped
1161,2025-12-12,North,Bo,109,1,22.0,0,shipped
1162,2025-01-21,South,Chen,101,1,39.0,0,shipped
1163,2025-01-15,East,Farah,105,1,119.0,0,shipped
1164,2025-07-24,North,Eli,110,1,34.0,0.15,shipped
1165,2025-09-07,East,Dara,104,2,29.9,0,returned
1166,2025-08-07,North,Farah,106,5,79.0,0.05,shipped
1167,2025-05-02,East,Amara,101,2,39.0,0.15,shipped
1168,2025-07-14,East,Amara,102,2,64.0,0,shipped
1169,2025-01-01,West,Chen,109,5,22.0,0.15,returned
1170,2025-01-17,South,Amara,109,1,22.0,0.05,shipped
1171,2025-04-07,North,Farah,112,5,18.0,0.1,shipped
1172,2025-06-15,North,Amara,111,1,59.0,0.05,shipped
1173,2025-10-15,West,Dara,103,1,48.5,0,shipped
1174,2025-08-22,North,Chen,101,1,39.0,0,shipped
1175,2025-09-24,West,Amara,109,2,22.0,0,shipped
1176,2025-10-22,North,Farah,110,3,34.0,0,shipped
1177,2025-12-24,South,Bo,110,5,34.0,0,shipped
1178,2025-01-11,North,Chen,102,4,64.0,0,shipped
1179,2025-10-21,South,Dara,111,2,59.0,0.1,shipped
1180,2025-07-31,South,Bo,106,3,79.0,0.15,shipped
1181,2025-03-16,North,Bo,111,5,59.0,0.1,shipped
1182,2025-05-13,West,Bo,104,1,29.9,0,shipped
1183,2025-07-31,East,Farah,107,1,129.0,0.1,shipped
1184,2025-08-01,North,Chen,104,2,29.9,0.1,shipped
1185,2025-07-31,East,Bo,106,4,79.0,0,shipped
1186,2025-08-08,North,Bo,107,1,129.0,0,shipped
1187,2025-06-08,North,Eli,110,2,34.0,0.1,shipped
1188,2025-11-07,South,Dara,108,1,159.0,0.1,shipped
1189,2025-10-21,West,Eli,103,3,48.5,0,shipped
1190,2025-07-21,East,Bo,106,2,79.0,0.05,shipped
1191,2025-04-12,East,Eli,104,5,29.9,0,cancelled
1192,2025-02-25,North,Eli,104,1,29.9,0.1,shipped
1193,2025-10-01,West,Bo,109,4,22.0,0,shipped
1194,2025-03-24,South,Dara,102,2,64.0,0,shipped
1195,2025-08-13,West,Eli,108,2,159.0,0,shipped
1196,2025-04-02,East,Chen,101,3,39.0,0,shipped
1197,2025-01-05,South,Amara,108,3,159.0,0,shipped
1198,2025-05-17,East,Amara,102,4,64.0,0,shipped
1199,2025-05-13,North,Dara,111,1,59.0,0.05,cancelled
1200,2025-04-18,North,Amara,111,2,59.0,0.05,shipped
1201,2025-09-08,West,Amara,104,4,29.9,0.05,shipped
1202,2025-11-03,West,Bo,112,2,18.0,0.05,shipped
1203,2025-10-19,West,Dara,104,4,29.9,0.05,shipped
1204,2025-05-03,East,Bo,101,1,39.0,0.15,shipped
1205,2025-03-03,North,Amara,112,2,18.0,0.15,shipped
1206,2025-04-20,South,Eli,109,1,22.0,0,shipped
1207,2025-10-08,North,Chen,109,2,22.0,0,shipped
1208,2025-07-07,East,Farah,103,5,48.5,0.15,shipped
1209,2025-03-05,East,Bo,110,2,34.0,0,shipped
1210,2025-09-21,North,Amara,101,3,39.0,0,shipped
1211,2025-02-06,East,Amara,102,1,64.0,0.15,shipped
1212,2025-07-04,East,Chen,101,5,39.0,0,shipped
1213,2025-08-27,West,Dara,108,1,159.0,0,shipped
1214,2025-11-21,North,Dara,104,3,29.9,0,shipped
1215,2025-01-22,North,Dara,103,1,48.5,0.15,shipped
1216,2025-07-30,South,Chen,102,3,64.0,0,shipped
1217,2025-06-22,East,Chen,112,4,18.0,0,shipped
1218,2025-04-14,West,Eli,103,2,48.5,0.15,shipped
1219,2025-11-21,West,Bo,101,1,39.0,0,shipped
1220,2025-03-21,North,Bo,103,2,48.5,0,shipped
1221,2025-02-24,South,Bo,104,2,29.9,0.15,shipped
1222,2025-05-31,West,Farah,102,1,64.0,0,shipped
1223,2025-07-20,South,Dara,110,1,34.0,0,shipped
1224,2025-02-04,North,Chen,107,1,129.0,0,shipped
1225,2025-08-04,South,Amara,105,1,119.0,0,shipped
1226,2025-11-03,East,Eli,109,1,22.0,0,shipped
1227,2025-09-12,South,Amara,105,2,119.0,0.15,shipped
1228,2025-11-17,South,Bo,101,1,39.0,0,shipped
1229,2025-07-09,East,Chen,107,1,129.0,0,shipped
1230,2025-04-01,North,Farah,102,2,64.0,0,shipped
1231,2025-04-24,East,Farah,103,5,48.5,0.15,shipped
1232,2025-08-05,East,Chen,103,2,48.5,0.1,shipped
1233,2025-03-22,West,Dara,109,4,22.0,0.15,shipped
1234,2025-04-03,South,Dara,112,2,18.0,0.1,cancelled
1235,2025-12-09,East,Eli,109,4,22.0,0,shipped
1236,2025-03-23,South,Farah,107,5,129.0,0,shipped
1237,2025-10-21,South,Bo,106,1,79.0,0.1,shipped
1238,2025-06-13,North,Bo,102,1,64.0,0.15,shipped
1239,2025-11-28,North,Bo,104,2,29.9,0.15,shipped
1240,2025-08-27,North,Amara,110,1,34.0,0,shipped
